Crack1_30,Crack1_50,Crack2_30,Crack2_50,Crack3_30,Crack3_50,Crack4_30,Crack4_50,Crack5_30,Crack5_50,Crack6_30,Crack6_50,Anomaly_Label,Anomaly_Score,Anomaly_Status
-2.19744,-0.2943,-2.89395,1.962,1.11834,-2.36421,0.93195,-3.5316,1.26549,-0.07848,-0.31392,-1.67751,1,0.14789941603583773,Normal
-2.52117,-1.33416,-2.32497,2.21706,0.22563,-3.21768,0.76518,-3.50217,0.08829,-0.13734,-1.90314,-0.70632,1,0.1346837898507619,Normal
-2.87433,-0.44145,-3.05091,0.27468,0.61803,-3.18825,0.48069,-3.12939,-0.40221,-0.12753,-0.99081,0.25506,1,0.13567610905465255,Normal
-3.01167,-0.08829,-2.69775,-0.81423,1.06929,-4.13001,0.82404,-2.16801,0.1962,-0.5886,-1.42245,0.03924,1,0.13600469163762602,Normal
-2.87433,0.43164,-2.6487,0.76518,1.72656,-3.95343,0.8829,-2.13858,0.74556,-0.11772,-1.41264,-0.65727,1,0.1378894139967634,Normal
-3.11958,0.43164,-1.79523,-0.54936,2.51136,-1.48131,0.80442,-1.42245,-0.03924,0.24525,-1.62846,-0.56898,1,0.14030067146979414,Normal
-3.10977,0.21582,-1.54017,-1.78542,2.12877,-0.13734,1.14777,-0.5886,0.86328,0.63765,-1.40283,-0.7848,1,0.14596312131487482,Normal
-1.81485,0.21582,-1.05948,-2.79585,1.962,-1.03005,0.64746,-0.7848,1.7658,0.26487,-2.29554,-0.80442,1,0.14163779679593513,Normal
-1.70694,1.19682,-0.80442,-1.73637,3.41388,-1.40283,0.89271,-0.69651,1.98162,0.67689,-1.63827,0.3924,1,0.13466161767988044,Normal
-2.02086,0.06867,-0.13734,-1.60884,1.59903,-0.41202,0.44145,0.38259,1.05948,0.51012,-1.11834,-0.26487,1,0.16119674883394125,Normal
-2.10915,-0.4905,0.3924,-2.37402,1.71675,0.60822,0.24525,0.38259,0.74556,-0.27468,-2.86452,-0.66708,1,0.1470992747440899,Normal
-1.01043,-2.11896,-0.15696,-3.94362,2.19744,2.20725,0.22563,0.66708,0.36297,-0.27468,-1.01043,-1.23606,1,0.14821212698074354,Normal
-1.16739,-1.80504,0.66708,-1.91295,1.98162,0.6867,0.23544,1.05948,0.85347,0.24525,-0.65727,-1.94238,1,0.1605372556279302,Normal
-0.76518,-2.1582,0.44145,-2.28573,1.40283,2.21706,-0.00981,0.60822,1.20663,-0.54936,-1.73637,-1.29492,1,0.15843459539707244,Normal
-0.32373,-3.16863,0.5886,-3.70818,0.26487,2.41326,0.55917,0.90252,1.43226,-0.17658,-0.32373,-1.52055,1,0.1482987316783051,Normal
-0.01962,-1.95219,0.10791,-3.99267,0.85347,2.50155,0.65727,0.62784,1.29492,-0.31392,-0.31392,-1.92276,1,0.15626264543397328,Normal
0.02943,-1.30473,-0.03924,-1.71675,0.91233,3.42369,0.60822,0.92214,0.25506,-0.43164,-0.82404,-2.48193,1,0.16788689475752727,Normal
0.6867,-0.06867,0.5886,-2.86452,-0.69651,2.81547,0.01962,0.77499,1.23606,-0.36297,-1.51074,-2.60946,1,0.15684967048454196,Normal
