RMS,Standard_Deviation,Peak_to_Peak
2.1032023815600818,1.5008038966633848,3.924
1.7091889925488053,1.8624890633423865,5.12082
1.4710911932133917,1.5565279001900352,3.51198
1.9032158490039954,1.7577227930933819,4.4145
1.1901205319000256,0.7757905295825672,2.2366800000000002
1.6519634157722745,1.143708853699227,3.0705299999999998
1.328684739300486,1.3589842251733462,3.3354
1.1312167881091582,1.142444594350203,3.26673
1.9244068075253735,2.009909962229652,5.1012
1.870402840539973,1.5979844618643826,3.9926699999999995
1.7374596580928146,1.8967544730196368,5.18949
2.20916030667763,1.6235001697690086,3.99267
5.72528722979031,2.4050711063500803,6.5727
1.1960826827188829,0.8598172597709353,2.14839
1.7385947611792694,1.8982962587014705,4.88538
1.882659725415084,1.4144192128785582,4.01229
0.9693550847857558,1.061270930761792,2.7958499999999997
1.4792621274811304,1.5961807560047827,3.90438
1.8659899072878179,1.9274557252813873,5.12082
1.2170925064472298,1.3329103228162051,4.0221
0.9699588408535695,1.0236630412738363,3.1588200000000004
0.7621555612865395,0.773104351559348,2.1582
1.7422212006659774,1.8007421196912126,4.68918
1.6623439875067976,1.1463129469564581,3.16863
1.3210516704883273,1.3025916838518508,3.0116699999999996
1.568158494317459,1.648360261884519,4.49298
1.6159475167065296,1.0065987413413549,2.29554
1.904218457320483,1.9239708534278788,5.48379
0.7681194501833684,0.8070098978761042,2.11896
3.0794312433386137,1.7940386456790722,4.71861
1.2060516296784312,1.3032675149293025,3.5021699999999996
2.1242104742115364,2.0419737489179433,5.23854
1.9400540998513418,2.124189332048817,5.5132200000000005
1.556928696344184,1.7011758191674369,4.92462
0.9539857222988193,0.9254822144968536,2.27592
1.4659414011821892,1.4561688545494988,4.1202
2.790791265537428,2.689075905972161,7.47522
1.7646914853877433,1.7968928200758107,4.56165
0.954666405452711,1.0290622978809396,2.70756
1.9103364068796886,2.0786531202175125,5.748659999999999
1.624589511799827,1.7765085709756652,5.41512
1.7361806252662768,1.3190383146482136,3.19806
1.5846212165372517,1.6751926274193067,5.15025
3.2007395752778764,2.4452567177435585,6.59232
2.23547493853096,2.1933954922174888,5.94486
1.9551906712517835,1.8495713747541618,5.0325299999999995
1.6237056501102654,1.7195188585531709,4.15944
1.7645915031247317,1.8609201970530598,5.11101
1.7533116725214601,1.80402317011728,4.83633
1.4123617955219547,1.5435518825974073,3.6983699999999997
2.1064029319671964,2.196893958942944,6.0625800000000005
1.7538147420694126,1.74890043143685,4.54203
1.3667093995981734,1.454110944759718,4.15944
1.744746490238625,1.8116673552945644,5.31702
2.014078451426359,1.9706008680805964,6.0822
2.6741833282237777,2.2828139102410425,4.95405
1.9011373354784236,2.0153896324011393,5.209110000000001
1.7233613552589604,1.5715934341425584,4.32621
1.6074087383581066,1.6580283403820333,4.5126
1.8362746070373024,1.8816737592127917,5.38569
1.262800164594541,1.1344138540056712,3.18825
1.3073949100405737,1.432174887882063,4.37526
4.673807007729351,3.1397190695856847,7.72047
0.8542213933752771,0.9295615604574019,2.58003
1.235793959464926,1.169173398273327,3.18825
1.5694875897247482,1.7190486725046503,4.74804
2.9851885341716695,2.977424155996253,8.18154
1.825073098399075,1.9031197730883889,5.16006
1.6097419880061525,1.1317937200700487,2.7958499999999997
3.7278580850737866,1.4521903958744526,3.9828599999999996
1.249270536373127,0.9840315109741151,2.4819299999999997
1.5258150780812203,1.6386361207662914,4.65975
1.9173092254120097,1.986361493271051,5.14044
1.9988381542661227,1.8256064722688732,5.06196
0.8262171240055485,0.8675501662036611,2.2563
1.453707177959165,1.5889464672008304,4.58127
1.8524802535789686,1.841519306105695,4.79709
1.479961323126385,1.5913309776127653,4.13982
1.0340596245381597,1.1013037655615274,2.8056599999999996
2.2681510613382874,1.4387594960207908,3.9338100000000003
2.061286979474231,2.2366663749585003,6.65118
1.3915627060431017,1.3684404989147319,3.4335
1.1007545671265688,0.895270224340115,2.0601
2.505624563995971,0.787875947062734,2.04048
0.7105424828608069,0.7666814691839108,2.0993399999999998
2.3323262105674667,1.3001069298023142,2.9626200000000003
2.0845538281968157,2.096747612000548,5.54265
1.9533234900292376,2.1309975580370804,5.94486
2.7505054470951333,2.7653042643658585,8.12268
1.6521381732924156,1.7861250668276283,4.16925
1.5419497678588625,1.6869321182074872,5.06196
1.1689072283333695,1.192094634611699,2.78604
2.0095939240926266,1.678900607823465,4.42431
1.5288972336131685,1.62650174728157,4.934430000000001
1.8425702846431666,1.9305064744646676,5.9252400000000005
